source_row,pickup_datetime,pickup_longitude,pickup_latitude,x_km,y_km,fare_amount,passenger_count,dropoff_longitude,dropoff_latitude
169730,2014-03-20 07:06:50+00:00,-73.996867000,40.742395000,-0.306718541,0.645014797,16.000000000,1,-74.005628000,40.706580000
51147,2014-06-18 22:33:35+00:00,-73.954978000,40.788417000,3.169126023,5.795072965,7.000000000,1,-73.954447000,40.774055000
170038,2014-01-12 18:51:59+00:00,-73.978872000,40.736604000,1.220078775,0.019691064,10.000000000,1,-73.994954000,40.718291000
84484,2014-04-03 15:58:35+00:00,-73.958683000,40.780907000,2.866426160,4.957684054,10.000000000,2,-73.977028000,40.774854000
90651,2014-08-23 19:41:59+00:00,-73.990015000,40.768358000,0.238626384,3.533732322,10.000000000,1,-73.974533000,40.754152000
16335,2014-02-23 02:12:00+00:00,-73.972385000,40.794087000,1.693087719,6.407133660,13.000000000,6,-73.997492000,40.761727000
107159,2014-02-10 23:48:16+00:00,-74.008119000,40.737602000,-1.250713565,0.102162711,19.500000000,1,-73.980400000,40.676557000
127460,2014-01-09 00:59:53+00:00,-73.962592000,40.767312000,2.554426315,3.444623819,9.500000000,1,-73.985562000,40.747250000
155584,2014-03-15 14:09:00+00:00,-73.979450000,40.761572000,1.139045546,2.790753381,9.000000000,1,-73.973835000,40.782965000
45765,2014-01-17 18:06:08+00:00,-73.972788000,40.755967000,1.708641065,2.175117895,14.500000000,1,-73.985297000,40.718753000
105062,2014-08-28 10:55:00+00:00,-73.991175000,40.733010000,0.185829477,-0.391278421,5.500000000,1,-73.998887000,40.731897000
59505,2014-04-22 18:13:00+00:00,-73.983912000,40.761110000,0.763020490,2.735097085,10.000000000,2,-73.979228000,40.752077000
33243,2014-02-07 21:12:00+00:00,-73.969852000,40.784692000,1.919034707,5.366720118,4.000000000,1,-73.976372000,40.785877000
107029,2014-01-21 08:21:00+00:00,-74.015350000,40.716092000,-1.834495030,-2.292464351,20.000000000,1,-73.978280000,40.737425000
83218,2014-06-05 00:00:00+00:00,-73.981932000,40.731020000,0.968888153,-0.603172788,7.000000000,5,-73.986277000,40.743497000
33297,2014-04-23 21:47:12+00:00,-73.994522000,40.734449000,-0.098627153,-0.234781630,4.500000000,1,-73.986705000,40.728175000
59862,2014-04-05 14:34:29+00:00,-73.947306000,40.780136000,3.827461692,4.883556606,7.000000000,1,-73.960456000,40.769070000
83256,2014-08-30 16:35:39+00:00,-73.983044000,40.747673000,0.853570362,1.244339907,11.000000000,2,-73.955216000,40.785856000
115766,2014-01-17 12:57:43+00:00,-73.987244000,40.754024000,0.490856492,1.945247219,15.000000000,2,-74.010821000,40.713452000
34976,2014-01-09 22:31:52+00:00,-73.991864000,40.684753000,0.189130066,-5.748785802,10.500000000,1,-73.962960000,40.660564000
27052,2014-02-05 16:26:00+00:00,-73.972300000,40.762507000,1.741331932,2.901589312,11.000000000,3,-73.949950000,40.782022000
55933,2014-09-06 00:57:00+00:00,-73.974712000,40.753987000,1.548798423,1.953423892,40.000000000,1,-73.934393000,40.664070000
197752,2014-06-10 08:39:53+00:00,-73.957863000,40.761325000,2.961441576,2.784750984,7.000000000,1,-73.971145000,40.761475000
169603,2014-04-28 22:10:34+00:00,-73.988459000,40.758207000,0.382939343,2.408408122,5.000000000,1,-73.985721000,40.760226000
176499,2014-08-17 04:02:00+00:00,-74.004982000,40.740847000,-0.989920526,0.465377784,12.500000000,1,-74.008163000,40.707697000
174660,2014-06-23 08:17:24+00:00,-73.960226000,40.769639000,2.751052110,3.705302724,27.500000000,1,-73.984176000,40.693686000
137380,2014-03-23 11:00:50+00:00,-73.979637000,40.762697000,1.121809392,2.915453283,7.500000000,2,-73.993951000,40.756629000
24150,2014-09-19 06:40:33+00:00,-73.950262000,40.784887000,3.571714768,5.407966430,4.000000000,1,-73.956987000,40.780202000
70185,2014-05-17 03:47:00+00:00,-73.975987000,40.765672000,1.426031321,3.249289877,8.000000000,1,-73.975892000,40.787247000
67191,2014-06-12 05:09:36+00:00,-73.991353000,40.749759000,0.149434992,1.467806423,11.500000000,1,-74.005881000,40.706375000
185778,2014-09-12 16:53:00+00:00,-73.873025000,40.774142000,10.104038381,4.296054876,24.000000000,1,-73.961150000,40.716240000
197395,2014-08-06 14:39:00+00:00,-73.960035000,40.771912000,2.764180581,3.957814494,8.000000000,1,-73.969340000,40.760265000
34255,2014-06-27 00:17:00+00:00,-73.994795000,40.760592000,-0.154915776,2.667014959,4.000000000,2,-73.991240000,40.755837000
18707,2014-02-27 11:34:00+00:00,-73.995970000,40.725297000,-0.209278995,-1.252115532,14.500000000,1,-73.939823000,40.707982000
59049,2014-04-11 00:15:26+00:00,-73.988553000,40.743905000,0.393301664,0.820690649,6.500000000,1,-73.973144000,40.749706000
80788,2014-01-05 23:46:00+00:00,-73.979122000,40.766907000,1.159839975,3.383300808,6.000000000,3,-73.976935000,40.758675000
7163,2014-06-14 13:47:00+00:00,-73.973278000,40.757510000,1.665274656,2.345918351,6.000000000,1,-73.982773000,40.744935000
127478,2014-04-24 14:50:00+00:00,-73.991797000,40.695872000,0.180630211,-4.514443800,17.500000000,5,-73.994412000,40.727832000
21121,2014-09-09 09:17:00+00:00,-73.976823000,40.755785000,1.368270259,2.150935407,7.000000000,1,-73.971637000,40.763072000
194073,2014-04-28 12:07:00+00:00,-73.985665000,40.727130000,0.658645371,-1.038638075,3.500000000,2,-73.983382000,40.731732000
158980,2014-05-03 09:17:16+00:00,-73.954761000,40.767320000,3.215341840,3.453356461,10.000000000,2,-73.973867000,40.755179000
94708,2014-02-15 16:38:29+00:00,-73.954843000,40.780055000,3.191578057,4.866959244,52.000000000,1,-73.790656000,40.644209000
170577,2014-01-13 06:26:01+00:00,-73.955992000,40.781956000,3.092110646,5.076830781,9.500000000,1,-73.979507000,40.754896000
115715,2014-05-19 18:11:00+00:00,-73.966255000,40.773847000,2.236725878,4.166410387,8.000000000,1,-73.985130000,40.768577000
52294,2014-08-03 00:40:00+00:00,-73.971587000,40.762830000,1.801092239,2.938149876,12.500000000,5,-73.928840000,40.757757000
85553,2014-06-20 12:34:00+00:00,-74.006695000,40.730942000,-1.122112027,-0.635783533,6.000000000,2,-73.995017000,40.738395000
133808,2014-09-05 10:55:07+00:00,-73.993256000,40.748037000,-0.009025071,1.274807458,6.000000000,1,-74.005506000,40.750840000
35524,2014-06-14 22:41:26+00:00,-73.975751000,40.789717000,1.414782182,5.918705805,3.500000000,1,-73.973477000,40.784782000
3250,2014-03-15 10:51:28+00:00,-73.973974000,40.794298000,1.558758089,6.428986580,20.500000000,1,-74.004405000,40.725598000
16916,2014-01-05 19:08:00+00:00,-73.962982000,40.758322000,2.533305619,2.446276138,10.500000000,6,-73.990632000,40.751127000
23897,2014-02-14 08:45:00+00:00,-73.956052000,40.772117000,3.100046559,3.984563529,5.000000000,1,-73.958622000,40.760150000
51432,2014-02-12 17:47:00+00:00,-73.980608000,40.733927000,1.076945896,-0.279178274,13.500000000,1,-73.995307000,40.749890000
41569,2014-02-07 09:06:00+00:00,-73.967340000,40.793337000,2.119688331,6.328877673,11.500000000,1,-73.980167000,40.775622000
65257,2014-05-25 14:08:00+00:00,-73.970018000,40.769180000,1.925247470,3.644601816,8.000000000,6,-73.983042000,40.780875000
90770,2014-05-15 22:27:00+00:00,-73.961532000,40.771647000,2.638192704,3.926900830,9.500000000,1,-73.980272000,40.746480000
119530,2014-07-25 13:57:00+00:00,-73.971212000,40.760195000,1.836173411,2.646016013,12.500000000,1,-73.987608000,40.778132000
81897,2014-05-21 20:13:56+00:00,-73.965165000,40.775215000,2.326919948,4.319353652,8.000000000,1,-73.972898000,40.756533000
143963,2014-06-20 06:49:00+00:00,-73.960517000,40.778390000,2.714981804,4.676441358,3.000000000,1,-73.958270000,40.778927000
169340,2014-02-19 13:16:00+00:00,-73.977457000,40.751610000,1.320152364,1.686855801,13.000000000,1,-73.985772000,40.763237000
32594,2014-08-03 17:26:53+00:00,-74.010167000,40.705987000,-1.384081049,-3.409263224,25.000000000,1,-73.990093000,40.759873000
54102,2014-07-01 19:47:00+00:00,-73.986545000,40.730182000,0.580419435,-0.700703244,18.000000000,1,-73.994008000,40.695425000
59446,2014-03-30 23:43:24+00:00,-73.956258000,40.778519000,3.074205691,4.695029201,13.500000000,1,-73.914226000,40.806366000
16111,2014-09-14 20:56:18+00:00,-73.988570000,40.731452000,0.407793166,-0.561696339,12.000000000,1,-73.978840000,40.761824000
184341,2014-07-24 08:33:13+00:00,-74.009985000,40.705221000,-1.367748108,-3.494120802,14.000000000,1,-73.984893000,40.728090000
64634,2014-03-18 18:55:00+00:00,-73.959707000,40.758305000,2.809770910,2.447661127,14.000000000,5,-73.993742000,40.746697000
95025,2014-05-15 00:58:00+00:00,-73.986927000,40.751060000,0.521414295,1.616530419,4.500000000,1,-73.990337000,40.756597000
97682,2014-05-19 18:07:00+00:00,-73.965450000,40.759145000,2.323904533,2.535176332,7.000000000,1,-73.962910000,40.769455000
173083,2014-05-13 23:47:16+00:00,-73.782102000,40.644643000,17.976413191,-9.976771441,17.500000000,1,-73.815597000,40.704447000
117421,2014-03-06 23:43:00+00:00,-73.950742000,40.786142000,3.529547304,5.546796959,6.500000000,2,-73.963590000,40.774555000
37776,2014-01-23 22:15:35+00:00,-73.999253000,40.717559000,-0.476745153,-2.114250093,6.500000000,1,-74.002670000,40.733661000
38717,2014-05-21 22:42:55+00:00,-73.974512000,40.793855000,1.513945124,6.379279021,3.500000000,2,-73.977951000,40.788807000
118532,2014-07-20 05:15:00+00:00,-73.981600000,40.736530000,0.989828699,0.008800839,5.000000000,1,-73.985820000,40.743330000
72247,2014-05-08 11:05:55+00:00,-73.988563000,40.758795000,0.373408345,2.473579291,14.000000000,1,-73.994203000,40.750964000
130816,2014-04-01 23:18:58+00:00,-73.992157000,40.736020000,0.099071740,-0.058099876,17.000000000,3,-73.984567000,40.774755000
74891,2014-06-23 15:35:00+00:00,-74.000760000,40.747237000,-0.641523663,1.178762236,8.500000000,2,-73.998687000,40.727130000
164456,2014-03-07 06:14:00+00:00,-73.967442000,40.756927000,2.158659016,2.286981192,6.000000000,1,-73.954397000,40.763837000
78738,2014-01-14 17:02:36+00:00,-74.016298000,40.710852000,-1.908051482,-2.875035309,13.500000000,1,-73.992077000,40.738112000
23845,2014-01-25 09:08:41+00:00,-73.996626000,40.742697000,-0.286754100,0.678771492,67.250000000,1,-74.181890000,40.687698000
50442,2014-04-03 02:09:36+00:00,-73.988208000,40.744343000,0.421868933,0.869647475,6.500000000,2,-73.978958000,40.758289000
151289,2014-01-27 12:11:34+00:00,-73.976392000,40.751868000,1.409724008,1.716543757,17.000000000,2,-73.992935000,40.753565000
191624,2014-07-07 18:17:00+00:00,-73.976867000,40.765912000,1.351448034,3.275065215,8.500000000,1,-73.977237000,40.755565000
55578,2014-07-08 14:39:17+00:00,-73.972544000,40.756409000,1.728663360,2.224424313,27.000000000,1,-73.962801000,40.811277000
153408,2014-07-03 08:07:00+00:00,-73.995937000,40.724342000,-0.205279908,-1.358095107,4.500000000,1,-73.989527000,40.731070000
