dia,visitantes,descuento_pct,publicidad,fin_semana,unidades_vendidas
1,40,0,1,0,10
2,50,0,2,0,12
3,60,5,1,0,14
4,70,5,3,1,18
5,80,10,2,0,22
6,90,10,4,1,26
7,100,15,3,0,30
8,110,15,5,1,36
9,125,0,2,0,32
10,53,10,0,1,25
11,37,10,0,0,22
12,102,5,2,0,26
13,73,5,8,0,35
14,84,20,2,1,33
15,43,15,0,1,17
16,74,10,6,1,21
17,103,5,0,0,18
18,72,20,4,1,38
19,123,10,0,1,27
20,118,10,0,0,28
21,109,20,3,0,47
22,130,5,0,1,36
23,111,15,7,1,51
24,53,5,5,0,15
25,125,5,8,1,27
26,104,15,4,1,45
27,45,5,5,1,15
28,66,10,5,0,26
29,52,10,4,0,23
30,137,0,5,0,27
31,112,15,5,0,45
32,132,10,8,0,49
33,64,10,2,0,24
34,102,5,8,0,32
35,99,10,1,1,31
36,114,10,1,1,28
37,47,10,2,0,17
38,89,15,8,0,35
39,103,10,2,1,28
40,122,10,7,1,46
41,104,0,5,1,23
42,82,15,5,1,32
43,83,10,0,1,15
44,70,5,5,1,29
45,51,10,0,1,24
46,64,0,4,0,21
47,50,20,7,1,48
48,58,20,8,0,37
49,125,0,8,1,32
50,90,5,2,0,37
51,44,15,6,0,21
52,80,5,5,0,29
53,63,10,6,0,30
54,105,10,7,1,34
55,123,15,4,0,45
56,36,20,1,1,26
57,84,20,7,0,39
58,82,10,5,0,25
59,140,0,1,0,34
60,73,20,3,1,29
